Song Name,Artist,Length,BPM,Level to Unlock,Difficulty – Easy,Difficulty – Hard,Difficulty – Master,Pack,Track Number,Track Total,Song filename,Art link
Iyaiya ,小野道ono ,2:01 ,128,1,1,4,- ,Default Songs,1,46,iyaiya,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/75/Iyaiya.png/revision/latest?cb=20190729015630
Wonderful Pain ,Haloweak ,1:51 ,138,1,1,3,- ,Default Songs,2,46,wonderful_pain,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e4/Wonderful_Pain.png/revision/latest?cb=20190729020712
Breaking Dawn ,TetraCalyx ,1:38 ,140,1,2,4,- ,Default Songs,3,46,breaking_dawn,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6b/Breaking_Dawn.png/revision/latest?cb=20190729022357
单向地铁 Feat.karin ,小野道ono ,1:52 ,128,1,1,4,- ,Default Songs,4,46,danxiang_ditie,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/3b/%E5%96%AE%E5%90%91%E5%9C%B0%E9%90%B5.png/revision/latest?cb=20190729043031
Frost Land ,Zris ,1:58 ,111,2,1,3,6,Default Songs,5,46,frost_land,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e4/Frost_Land.png/revision/latest?cb=20190729043213
Heart-Pounding Flight ,TetraCalyx ,1:30 ,150,3,2,5,- ,Default Songs,6,46,heart_pounding_flight,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/85/Heart-Pounding_Flight.png/revision/latest?cb=20190729043334
Pancake is Love ,3R2 ,1:46 ,155,4,2,4,6,Default Songs,7,46,pancake_is_love,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6d/Pancake_is_Love.png/revision/latest?cb=20190729050425
时光涂鸦 ,TetraCalyx ,1:36 ,158,5,2,5,- ,Default Songs,8,46,shiguang_tuya,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cb/%E6%99%82%E5%85%89%E5%A1%97%E9%B4%89.png/revision/latest?cb=20190729053433
Evolution ,Haloweak ,1:43 ,130,6,2,4,7,Default Songs,9,46,evolution,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/53/Evolution.png/revision/latest?cb=20190729231704
海豚与广播 feat.Uranyan ,小野道ono ,1:34 ,128,7,2,5,- ,Default Songs,10,46,haitun_yu_guangbo,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e0/%E6%B5%B7%E8%B1%9A%E8%88%87%E5%BB%A3%E6%92%AD.png/revision/latest?cb=20190729221606
Yuki no Shizuku Ame no Oto ,Tianyou feat.Tokyo Tower ,2:29 ,130,8,2,4,6,Default Songs,11,46,yuki_no_shizuku_ame_no_oto,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ec/%E9%9B%AA%E3%81%AE%E9%9B%AB%E3%83%BB%E9%9B%A8%E3%81%AE%E9%9F%B3.png/revision/latest?cb=20190729222636
Best One feat.墨橙 ,小野道ono ,2:21 ,110,9,3,5,- ,Default Songs,12,46,best_one,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/29/Best_One.png/revision/latest?cb=20200612143825
糖果色恋爱学 ,ANK feat.kumako ,2:00 ,150,10,2,4,6,Default Songs,13,46,tangguose_lianaixue,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/fc/%E7%B3%96%E6%9E%9C%E8%89%B2%E6%88%80%E6%84%9B%E5%AD%A6.png/revision/latest?cb=20190729231609
Night Wander (cnsouka Remix) ,cnsouka ,2:05 ,132,11,3,5,7,Default Songs,14,46,night_wander_cnsouka_remix,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/09/Night_Wander.png/revision/latest?cb=20190729231644
Spring Carnival ,3R2 ,1:47 ,180,12,2,4,7,Default Songs,15,46,spring_carnival,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/81/Spring_Carnival.png/revision/latest?cb=20190730000723
DISCO NIGHT ,ANK feat.kumako ,1:48 ,120,13,2,4,7,Default Songs,16,46,disco_night,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d1/DISCO_NIGHT.png/revision/latest?cb=20190825005048
恋爱语音导航 feat.yousa ,小野道ono ,1:43 ,130,14,3,5,7,Default Songs,17,46,lianai_yuyin_daohang,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b1/%E6%88%80%E6%84%9B%E8%AA%9E%E9%9F%B3%E5%B0%8E%E8%88%AA.png/revision/latest?cb=20190730000753
Lights of Muse ,Ayatsugu_Otowa ,1:37 ,180,16,4,6,8,Default Songs,18,46,lights_of_muse,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cc/Lights_of_Muse.png/revision/latest?cb=20190730001040
midstream jam ,MusMus ,2:01 ,121,17,2,5,8,Default Songs,19,46,midstream_jam,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/00/Midstream_jam.png/revision/latest?cb=20190730001117
Nihao ,MusikM ,2:44 ,140,18,3,5,7,Default Songs,20,46,nihao,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/bd/Nihao.png/revision/latest?cb=20190930073446
Confession ,Haloweak & G.K ,1:41 ,175,19,3,5,8,Default Songs,21,46,confession,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/99/Confession.png/revision/latest?cb=20190729232541
Galaxy Striker ,M2U ,1:30 ,170,20,4,6,9,Default Songs,22,46,galaxy_striker,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/a1/Galaxy_Striker.png/revision/latest?cb=20190730001139
Departure Road ,daisan ,2:00 ,160,21,2,5,8,Default Songs,23,46,departure_road,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/82/Departure_Road.png/revision/latest?cb=20190730001242
Bass Telekinesis ,Haloweak ,2:26 ,110,22,2,5,8,Default Songs,24,46,bass_telekinesis,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ed/Bass_Telekinesis.png/revision/latest?cb=20190730001450
Armeria no Torikago ,a_hisa ,2:34 ,150,23,3,5,7,Default Songs,25,46,armeria_no_torikago,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/43/%E3%82%A2%E3%83%AB%E3%83%A1%E3%83%AA%E3%82%A2%E3%81%AE%E9%B3%A5%E7%B1%A0.png/revision/latest?cb=20190730001534
Ira ,Lactic Acid Bacteria ,2:02 ,145,24,4,6,8,Default Songs,26,46,ira,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/81/Spring_Carnival.png/revision/latest?cb=20190730000723
Blackest Luxury Car ,Chicala Lpis ,2:13 ,178,25,3,6,8,Default Songs,27,46,blackest_luxury_car,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c3/Blackest_Luxury_Car.png/revision/latest?cb=20190730002214
Medicine of Sing ,JurokuNeta. ,2:01 ,190,26,3,6,9,Default Songs,28,46,medicine_of_sing,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/48/Medicine_of_Sing.png/revision/latest?cb=20190730002951
irregulyze ,daisan ,2:08 ,135,27,3,6,8,Default Songs,29,46,irregulyze,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/a7/Irregulyze.png/revision/latest?cb=20190730003440
Imaginary World ,uma ,1:59 ,180,28,4,6,8,Default Songs,30,46,imaginary_world,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/22/Imaginary_World.png/revision/latest?cb=20190730003852
Dysthymia ,a_hisa ,1:56 ,190,29,4,7,9,Default Songs,31,46,dysthymia,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ab/Dysthymia.png/revision/latest?cb=20190730003931
新世界より ,綾奈なな (Prod.Aya2g+Works) ,2:09 ,128,31,2,5,7,Default Songs,32,46,shinsekai_yori,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/5f/Shinsekaiyori.png/revision/latest?cb=20200430090226
NISEGAO ,Tianyou ,1:58 ,180,32,4,7,9,Default Songs,33,46,nisegao,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/74/%E5%81%BD%E9%A1%94.png/revision/latest?cb=20190730004059
Say! Fanfare! ,Fubuki Shirakami ,2:09 ,170,33,4,6,9,Default Songs,34,46,say_fanfare,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b1/Say_%C3%91%C4%B1%C3%91%C3%AD%C3%91%C2%BE%C3%91%C4%B1%C3%91%C3%AD%C2%AE%60%C3%91%C3%BD.png/revision/latest?cb=20200612151850
Star Driver ,iKz feat.Qiyou ,2:05 ,160,34,5,7,9,Default Songs,35,46,star_driver,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/8d/%E6%B5%81%E6%98%9F%E8%BD%A6%E6%89%8B.png/revision/latest?cb=20190730004222
Formation ,SLT ,2:08 ,180,36,4,6,9,Default Songs,36,46,formation,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/66/Formation.png/revision/latest?cb=20190730005351
Shinsou Masui ,iKz ,2:17 ,168,38,4,6,10,Default Songs,37,46,shinsou_masui,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/55/%E5%BF%83%E5%B1%A4%E9%BA%BB%E9%85%94.png/revision/latest?cb=20190730005534
Latitude ,SLT ,1:58 ,180,40,3,6,8,Default Songs,38,46,latitude,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f1/Latitude.png/revision/latest?cb=20190730010459
Aqua Stars ,Sound Souler ,1:50 ,192,42,5,7,9,Default Songs,39,46,aqua_stars,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/6d/Aqua_Stars.png/revision/latest?cb=20190625171438
Funkotsu Saishin Casino ,Morimori Atsushi ,1:55 ,132~198 ,44,5,7,10,Default Songs,40,46,funkotsu_saishin_casino,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ab/%E7%B2%89%E9%AA%A8%E7%A0%95%E8%BA%AB%E3%82%AB%E3%82%B8%E3%83%8E%E3%82%A5.png/revision/latest?cb=20190730010832
Tokei no Heya to Seishin Sekai ,a_hisa ,2:19 ,180,46,4,6,9,Default Songs,41,46,tokei_no_heya_to_seishin_sekai,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ea/%E6%99%82%E8%A8%88%E3%81%AE%E9%83%A8%E5%B1%8B%E3%81%A8%E7%B2%BE%E7%A5%9E%E4%B8%96%E7%95%8C.png/revision/latest?cb=20190730010901
"徒 花 
Tu Hua ",Aya.Tsumi ,1:45 ,125,48,4,7,9,Default Songs,42,46,tu_hua,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ac/%E5%BE%92%E8%8A%B1.png/revision/latest?cb=20190730011433
Mujinku-Vacuum Track#ADD8E6- ,NoKANY ,2:17 ,203,50,5,7,11,Default Songs,43,46,mujinku_vacuum_track_add8e6,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c2/%E7%84%A1%E4%BA%BA%E5%8C%BA_-Vacuum_Track.ADD8E6-.png/revision/latest?cb=20190730011926
MilK ,Morimori Atsushi ,1:55 ,150,55,5,7,9,Default Songs,44,46,milk,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/92/Milk.png/revision/latest?cb=20190730012033
umpopoff ,Mameko ,2:07 ,123~177 ,60,- ,? ,- ,Default Songs,45,46,umpopoff,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/fd/Umpopoff.jpg/revision/latest?cb=20191028144205
Mopemope ,LeaF ,1:48 ,100,65,4,7,9,Default Songs,46,46,mopemope,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/11/Mopemope_jacket.png/revision/latest?cb=20200612143911
Sunshine and Rainbow after August Rain ,yk! ,1:29 ,172,,2,5,8,Cute is Everything Vol. 1,1,6,sunshine_and_rainbow_after_august_rain,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e0/Sunshine_and_Rainbow_after_August_Rain.png/revision/latest?cb=20190730012518
Magical Number ,味素 ,2:08 ,135,,2,5,7,Cute is Everything Vol. 1,2,6,magical_number,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/aa/Magical_Number.png/revision/latest?cb=20190730012748
Dreaming Girl ,Nano&板烧鹅尼子 ,1:51 ,167,,2,5,6,Cute is Everything Vol. 1,3,6,dreaming_girl,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/0a/Dreaming_Girl.png/revision/latest?cb=20190730012832
Daruma-san Fell Over ,Ncha-P ,1:21 ,195,,3,4,6,Cute is Everything Vol. 1,4,6,daruma_san_fell_over,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b0/Daruma-san_Fell_Over.png/revision/latest?cb=20190730012904
Different ,Ncha-P ,1:22 ,109,,1,3,6,Cute is Everything Vol. 1,5,6,different,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/9b/Different.png/revision/latest?cb=20190730012958
The Future of the Phantom ,Ncha-P ,1:37 ,104,,1,3,5,Cute is Everything Vol. 1,6,6,the_future_of_the_phantom,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c5/The_Future_of_the_Phantom.png/revision/latest?cb=20190730013509
Oriens ,ginkiha ,2:10 ,140~185 ,,3,7,9,Give Up TREATMENT Vol. 1,1,6,oriens,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b7/Oriens.png/revision/latest?cb=20190730013916
PUPA ,Morimori Atsushi ,2:02 ,202,,6,8,11,Give Up TREATMENT Vol. 1,2,6,pupa,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e2/PUPA.png/revision/latest?cb=20190730013941
Luna Express 2032 ,Sakamiya feat.Mao Komiya ,1:55 ,100~155 ,,4,6,8,Give Up TREATMENT Vol. 1,3,6,luna_express_2032,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/18/Luna_Express_2032.png/revision/latest?cb=20190730021601
Ukiyoe Yokochou ,Chaos City Niigata ,2:02 ,192,,6,7,9,Give Up TREATMENT Vol. 1,4,6,ukiyoe_yokochou,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/fd/Ukiyoe_Yokochou.png/revision/latest?cb=20190730021633
Alice in Misanthrope ,LeaF ,2:22 ,154~174 ,,5,7,10,Give Up TREATMENT Vol. 1,5,6,alice_in_misanthrope,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/dd/Alice_in_Misanthrope.png/revision/latest?cb=20190730025345
GOODMEN ,EBIMAYO ,2:05 ,175,,5,7,10,Give Up TREATMENT Vol. 1,6,6,goodmen,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/83/GOODMEN.png/revision/latest?cb=20190730022110
Maharajah ,Alice Schach and the Magic Orchestra ,1:34 ,120,,1,3,6,Happy Otaku Pack Vol. 1,1,6,maharajah,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/2a/Maharajah.png/revision/latest?cb=20190730023821
keep on running ,uma ,2:23 ,175,,5,7,9,Happy Otaku Pack Vol. 1,2,6,keep_on_running,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/43/Keep_on_running.png/revision/latest?cb=20190730023856
Käfig ,Chicala Lpis ,1:54 ,66~141 ,,4,6,8,Happy Otaku Pack Vol. 1,3,6,kafig,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b2/K%C3%A4fig.png/revision/latest?cb=20190730024053
-+ ,daisan ,1:57 ,185,,4,6,8,Happy Otaku Pack Vol. 1,4,6,minus_plus,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/77/Minus_Plus.png/revision/latest?cb=20190730024308
Tenri Kaku Jou ,a_hisa ,2:02 ,150,,3,6,9,Happy Otaku Pack Vol. 1,5,6,tenri_kaku_jou,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b7/Tenri_Kaku_Jou.png/revision/latest?cb=20190730024343
Adjudicatorz-DanZai- ,JurokuNeta. ,2:16 ,191,,3,7,10,Happy Otaku Pack Vol. 1,6,6,adjudicatorz_danzai,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d7/Adjudicatorz-DanZai-.png/revision/latest?cb=20190730024414
MUSEDASH!!!! ,Dan@Yomi ,1:39 ,145,,2,6,9,Happy Otaku Pack Vol. 2,1,6,musedash,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/44/MUSEDASH%21%21%21%21.png/revision/latest?cb=20190825005450
Imprinting ,Sakuzyo ,1:51 ,175,,3,6,9,Happy Otaku Pack Vol. 2,2,6,imprinting,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cc/Imprinting.png/revision/latest?cb=20190825005413
Skyward ,SLT ,1:41 ,190,,4,7,10,Happy Otaku Pack Vol. 2,3,6,skyward,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/68/Skyward.png/revision/latest?cb=20190825005306
La nuit de vif ,Polymath9 ,1:37 ,195,,2,5,8,Happy Otaku Pack Vol. 2,4,6,la_nuit_de_vif,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b4/La_nuit_de_vif.png/revision/latest?cb=20190825005152
Bit-alize ,Yamajet ,1:57 ,192,,3,6,8,Happy Otaku Pack Vol. 2,5,6,bit_alize,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d1/Bit-alize.png/revision/latest?cb=20190624083041
GOODTEK(Hyper Edit) ,EBIMAYO ,2:01 ,190,,4,6,9,Happy Otaku Pack Vol. 2,6,6,goodtek,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ac/GOODTEK%28Hyper_Edit%29.png/revision/latest?cb=20190902081913
Thirty Million Persona ,Alice Schach and the Magic Orchestra ,2:09 ,160,,2,4,6,Happy Otaku Pack Vol. 3,1,6,thirty_million_persona,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/34/Thirty_Million_Persona.png/revision/latest?cb=20190825010257
conflict ,siromaru + cranky ,2:12 ,160,,2,6,9,Happy Otaku Pack Vol. 3,2,6,conflict,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/4/4e/Conflict.png/revision/latest?cb=20190825010050
Enka Dance Music ,uma with Morimori Atsushi feat.Mashiro ,1:48 ,110,,3,5,7,Happy Otaku Pack Vol. 3,3,6,enka_dance_music,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cc/Enka_Dance_Music.png/revision/latest?cb=20190825005958
XING ,ginkiha ,2:10 ,177,,4,6,8,Happy Otaku Pack Vol. 3,4,6,xing,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/a0/XING.png/revision/latest?cb=20190825005925
Amakakeru Soukyuu no Serenade ,Sakamiya feat.Arata Kiki ,1:57 ,165,,3,6,9,Happy Otaku Pack Vol. 3,5,6,amakakeru_soukyuu_no_serenade,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/66/Amakakeru_Soukyuu_no_Serenade.png/revision/latest?cb=20190825005737
Gift box ,K.key ,1:55 ,185,,5,7,10,Happy Otaku Pack Vol. 3,6,6,gift_box,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/56/Gift_Box.png/revision/latest?cb=20190825005628
Out of Sense ,Sound Souler ,1:51 ,158,30,3,5,8,Budget Is Burning Vol. 1,1,6,out_of_sense,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/cf/Out_of_Sense.png/revision/latest?cb=20190730024619
My Life Is For You ,HyuN feat.Yu-A ,1:46 ,175,30,2,4,7,Budget Is Burning Vol. 1,2,6,my_life_is_for_you,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/93/My_Life_Is_For_You.png/revision/latest?cb=20190730024643
Etude -Sunset- ,Polymath9 ,2:01 ,159,30,5,7,9,Budget Is Burning Vol. 1,3,6,etude_sunset,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ae/Etude_-Sunset-.png/revision/latest?cb=20190825005541
Goodbye Boss ,KillerBlood ,1:47 ,166,30,4,6,8,Budget Is Burning Vol. 1,4,6,goodbye_boss,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b0/Goodbye_Boss.png/revision/latest?cb=20190730024722
Stargazer ,a_hisa ,2:05 ,150,30,2,5,8,Budget Is Burning Vol. 1,5,6,stargazer,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/2/2b/Stargazer.png/revision/latest?cb=20190730024802
Lys Tourbillon ,Chicala Lpis ,1:52 ,160,30,4,6,8,Budget Is Burning Vol. 1,6,6,lys_tourbillon,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c6/Lys_Tourbillon.png/revision/latest?cb=20190730024827
Brave My Soul ,uma feat.Mashiro ,2:00 ,164,,4,6,8,Give Up TREATMENT Vol. 2,1,6,brave_my_soul,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/32/Brave_My_Soul.png/revision/latest?cb=20190730025038
Halcyon ,xi ,2:28 ,40~191 ,,4,7,10,Give Up TREATMENT Vol. 2,2,6,halcyon,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ed/Halcyon.png/revision/latest?cb=20190730025111
Crimson Nightingle ,VeetaCrush ,2:10 ,192,,4,7,10,Give Up TREATMENT Vol. 2,3,6,crimson_nightingale,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/02/Crimson_Nightingle.png/revision/latest?cb=20190730025132
Invader ,SLT ,2:09 ,180,,3,7,10,Give Up TREATMENT Vol. 2,4,6,invader,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/77/Invader.png/revision/latest?cb=20190730025202
Lyrith ,yumemidoll ,2:21 ,177,,5,7,10,Give Up TREATMENT Vol. 2,5,6,lyrith,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/3/3c/Lyrith.png/revision/latest?cb=20190730034008
GOODBOUNCE (Groove Edit) ,EBIMAYO ,2:08 ,180,,4,6,9,Give Up TREATMENT Vol. 2,6,6,goodbounce,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/5d/GOODBOUNCE_%28Groove_Edit%29.png/revision/latest?cb=20190730025422
Altale ,Sakuzyo ,2:26 ,83~90 ,,3,5,7,Give Up TREATMENT Vol. 3,1,6,altale,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/17/Altale.png/revision/latest?cb=20191107235848
Brain Power ,NOMA ,1:44 ,170~173 ,,4,7,10,Give Up TREATMENT Vol. 3,2,6,brain_power,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e7/Brain_Power.png/revision/latest?cb=20190730032138
Berry Go!! ,Freezer feat.Kiichigo ,1:51 ,175,,3,6,9,Give Up TREATMENT Vol. 3,3,6,berry_go,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/1e/Berry_Go%21%21.png/revision/latest?cb=20190730032210
Sweet* Witch* Girl* ,Morimori Atsushi vs. uma ,2:09 ,180,,6,8,10,Give Up TREATMENT Vol. 3,4,6,sweet_witch_girl,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/0b/Sweet_Witch_Girl.png/revision/latest?cb=20190730032250
trippers feeling! ,KAH ,2:15 ,200,,5,7,9,Give Up TREATMENT Vol. 3,5,6,trippers_feeling,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/6/69/Trippers_feeling%21.png/revision/latest?cb=20190730032324
Lilith ambivalence lovers ,ikaruga_nex ,2:28 ,155.6,,5,8,10,Give Up TREATMENT Vol. 3,6,6,lilith_ambivalence_lovers,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/07/Lilith_ambivalence_lovers.png/revision/latest?cb=20190730032355
Leave it Alone ,a_hisa ,2:07 ,128,,2,5,8,Happy Otaku Pack Vol. 4,1,6,leave_it_alone,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/5b/Leave_it_Alone.png/revision/latest?cb=20190730032721
Tsubasa no Oreta Tenshitachi no Requiem ,Sakamiya feat.Maeno ,1:55 ,184,,4,7,9,Happy Otaku Pack Vol. 4,2,6,tsubasa_no_oreta_tenshitachi_no_requiem,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/a/ab/Tsubasa_no_Oreta_Tenshitachi_no_Requiem.png/revision/latest?cb=20190730032804
Chronomia ,Lime ,2:19 ,227,,5,7,9,Happy Otaku Pack Vol. 4,3,6,chronomia,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/d/d3/Chronomia.png/revision/latest?cb=20190730032855
Dandelion's Daydream ,VeetaCrush ,2:34 ,200,,5,7,8,Happy Otaku Pack Vol. 4,4,6,dandelions_daydream,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/53/Dandelion%27s_Daydream.png/revision/latest?cb=20190730032925
Lorikeet ~Flat design~ ,Tedjimo Yomigy ,2:36 ,182,,5,7,10,Happy Otaku Pack Vol. 4,5,6,lorikeet_flat_design,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/ef/Lorikeet_~Flat_design~.png/revision/latest?cb=20190730033406
GOODRAGE ,EBIMAYO ,1:57 ,222,,6,8,11,Happy Otaku Pack Vol. 4,6,6,goodrage,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/05/GOODRAGE.png/revision/latest?cb=20190730032954
Destr0yer ,Sakuzyo feat.Nikki Simmons ,2:56 ,90,,4,7,9,Give Up TREATMENT Vol. 4,1,6,destr0yer,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e5/Destr0yer.png/revision/latest?cb=20190730033438
Noël ,Morimori Atsushi vs. uma ,2:16 ,220,,5,8,10,Give Up TREATMENT Vol. 4,2,6,noel,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c7/No%C3%ABl.png/revision/latest?cb=20190730033513
Kyoukiranbu ,LeaF ,2:31 ,230,,7,9,11,Give Up TREATMENT Vol. 4,3,6,kyouki_ranbu,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/0/0c/Kyouki_Ranbu.png/revision/latest?cb=20190730034202
Two Phace ,litmus* vs Sound Souler ,2:20 ,158,,4,7,10,Give Up TREATMENT Vol. 4,4,6,two_phace,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/1/18/Two_Phace.png/revision/latest?cb=20190730034242
Fly Again ,HyuN & Ritoru ,2:36 ,180,,5,7,10,Give Up TREATMENT Vol. 4,5,6,fly_again,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/b/b6/Fly_Again.png/revision/latest?cb=20190625135221
ouroVoros ,Negentropy ,2:15 ,185,,7,9,11,Give Up TREATMENT Vol. 4,6,6,ourovoros,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/e/e5/OuroVoros.png/revision/latest?cb=20190730035132
Brave My Heart ,uma feat.Mashiro ,1:32 ,165,,3,5,7,Happy Otaku Pack Vol. 5,1,6,brave_my_heart,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/c/c0/Brave_My_Heart.png/revision/latest?cb=20190730035210
Sakura Fubuki ,Street ,1:52 ,175,,4,7,9,Happy Otaku Pack Vol. 5,2,6,sakura_fubuki,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/5/54/Sakura_Fubuki.png/revision/latest?cb=20190730035258
8bit Adventurer ,Lime ,1:57 ,197,,6,8,10,Happy Otaku Pack Vol. 5,3,6,8bit_adventurer,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/f/f3/8bit_Adventurer.png/revision/latest?cb=20190730035334
Suffering of screw ,Sakamiya feat.Yuji Haru ,2:07 ,145,,3,5,8,Happy Otaku Pack Vol. 5,4,6,suffering_of_screw,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/7/7d/Suffering_of_Screw.png/revision/latest?cb=20190730035430
tiny lady ,Chicala Lpis ,1:52 ,188,,4,6,9,Happy Otaku Pack Vol. 5,5,6,tiny_lady,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/9/96/Tiny_Lady.png/revision/latest?cb=20190730035549
Power Attack ,EBIMAYO ,2:08 ,180,,5,7,10,Happy Otaku Pack Vol. 5,6,6,power_attack,https://static.wikia.nocookie.net/musedash_gamepedia_en/images/8/88/Power_Attack.png/revision/latest?cb=20190730035760
